TODO,LOC,TODO/LOC,FILE
5,389,1.29%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp">Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp</a>
1,58,1.72%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibWeb/GeneratorUtil.h">Meta/Lagom/Tools/CodeGenerators/LibWeb/GeneratorUtil.h</a>
2,268,0.75%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibTextCodec/GenerateEncodingIndexes.cpp">Meta/Lagom/Tools/CodeGenerators/LibTextCodec/GenerateEncodingIndexes.cpp</a>
3,672,0.45%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibTimeZone/GenerateTimeZoneData.cpp">Meta/Lagom/Tools/CodeGenerators/LibTimeZone/GenerateTimeZoneData.cpp</a>
1,461,0.22%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibGL/GenerateGLAPIWrapper.cpp">Meta/Lagom/Tools/CodeGenerators/LibGL/GenerateGLAPIWrapper.cpp</a>
1,895,0.11%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateNumberFormatData.cpp">Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateNumberFormatData.cpp</a>
1,1930,0.05%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateDateTimeFormatData.cpp">Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateDateTimeFormatData.cpp</a>
2,519,0.39%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibLocale/GeneratePluralRulesData.cpp">Meta/Lagom/Tools/CodeGenerators/LibLocale/GeneratePluralRulesData.cpp</a>
1,242,0.41%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateRelativeTimeFormatData.cpp">Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateRelativeTimeFormatData.cpp</a>
9,1488,0.60%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateLocaleData.cpp">Meta/Lagom/Tools/CodeGenerators/LibLocale/GenerateLocaleData.cpp</a>
1,141,0.71%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibWebView/GeneratePublicSuffixData.cpp">Meta/Lagom/Tools/CodeGenerators/LibWebView/GeneratePublicSuffixData.cpp</a>
4,1475,0.27%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibUnicode/GenerateUnicodeData.cpp">Meta/Lagom/Tools/CodeGenerators/LibUnicode/GenerateUnicodeData.cpp</a>
1,21,4.76%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Runtime/Cell.h">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Runtime/Cell.h</a>
4,211,1.90%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/CppASTConverter.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/CppASTConverter.cpp</a>
2,211,0.95%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/Lexer.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/Lexer.cpp</a>
1,676,0.15%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/TextParser.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/TextParser.cpp</a>
1,46,2.17%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/AlgorithmStep.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Parser/AlgorithmStep.cpp</a>
1,63,1.59%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/SSABuildingPass.h">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/SSABuildingPass.h</a>
3,363,0.83%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/SSABuildingPass.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/SSABuildingPass.cpp</a>
2,67,2.99%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/DeadCodeEliminationPass.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/DeadCodeEliminationPass.cpp</a>
1,83,1.20%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/CFGBuildingPass.cpp">Meta/Lagom/Tools/CodeGenerators/JSSpecCompiler/Compiler/Passes/CFGBuildingPass.cpp</a>
1,308,0.32%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/ConfigureComponents/main.cpp">Meta/Lagom/Tools/ConfigureComponents/main.cpp</a>
1,94,1.06%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/BuildFuzzers.sh">Meta/Lagom/BuildFuzzers.sh</a>
1,421,0.24%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Websites/serenityos.org/happy/2nd/index.html">Meta/Websites/serenityos.org/happy/2nd/index.html</a>
1,482,0.21%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/serenity.sh">Meta/serenity.sh</a>
1,70,1.43%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/debug-kernel.sh">Meta/debug-kernel.sh</a>
9,30,30.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/toot-commits.js">Meta/toot-commits.js</a>
1,59,1.69%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/analyze-qemu-coverage.sh">Meta/analyze-qemu-coverage.sh</a>
1,196,0.51%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/build-root-filesystem.sh">Meta/build-root-filesystem.sh</a>
1,100,1.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/WebDriver/main.cpp">Ladybird/WebDriver/main.cpp</a>
2,66,3.03%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/EventLoopImplementationQt.h">Ladybird/Qt/EventLoopImplementationQt.h</a>
1,93,1.08%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/SettingsDialog.cpp">Ladybird/Qt/SettingsDialog.cpp</a>
2,168,1.19%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/AudioThread.cpp">Ladybird/Qt/AudioThread.cpp</a>
2,935,0.21%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/BrowserWindow.cpp">Ladybird/Qt/BrowserWindow.cpp</a>
1,107,0.93%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/RequestManagerQt.cpp">Ladybird/Qt/RequestManagerQt.cpp</a>
2,146,1.37%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/EventLoopImplementationQt.cpp">Ladybird/Qt/EventLoopImplementationQt.cpp</a>
7,662,1.06%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/WebContentView.cpp">Ladybird/Qt/WebContentView.cpp</a>
2,166,1.20%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/main.cpp">Ladybird/Qt/main.cpp</a>
5,52,9.62%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/Qt/AudioCodecPluginQt.cpp">Ladybird/Qt/AudioCodecPluginQt.cpp</a>
2,140,1.43%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/AppKit/UI/LadybirdWebViewBridge.cpp">Ladybird/AppKit/UI/LadybirdWebViewBridge.cpp</a>
3,37,8.11%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/AppKit/Application/EventLoopImplementation.h">Ladybird/AppKit/Application/EventLoopImplementation.h</a>
1,48,2.08%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/AppKit/Application/ApplicationBridge.cpp">Ladybird/AppKit/Application/ApplicationBridge.cpp</a>
1,171,0.58%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/HelperProcess.cpp">Ladybird/HelperProcess.cpp</a>
2,69,2.90%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/MachPortServer.cpp">Ladybird/MachPortServer.cpp</a>
3,46,6.52%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/ImageCodecPlugin.cpp">Ladybird/ImageCodecPlugin.cpp</a>
1,83,1.20%,<a href="https://github.com/SerenityOS/serenity/blob/master/Ladybird/FontPlugin.cpp">Ladybird/FontPlugin.cpp</a>
1,222,0.45%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FloatingPoint.h">AK/FloatingPoint.h</a>
1,272,0.37%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/JsonParser.cpp">AK/JsonParser.cpp</a>
1,90,1.11%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/NumberFormat.cpp">AK/NumberFormat.cpp</a>
1,247,0.40%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Complex.h">AK/Complex.h</a>
2,189,1.06%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/NonnullOwnPtr.h">AK/NonnullOwnPtr.h</a>
3,395,0.76%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/DisjointChunks.h">AK/DisjointChunks.h</a>
1,288,0.35%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/IPv6Address.h">AK/IPv6Address.h</a>
3,511,0.59%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/BigIntBase.h">AK/BigIntBase.h</a>
1,509,0.20%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/RedBlackTree.h">AK/RedBlackTree.h</a>
2,401,0.50%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/CircularBuffer.cpp">AK/CircularBuffer.cpp</a>
3,338,0.89%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/StringView.h">AK/StringView.h</a>
8,410,1.95%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FixedPoint.h">AK/FixedPoint.h</a>
2,257,0.78%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Utf16View.cpp">AK/Utf16View.cpp</a>
1,112,0.89%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/SourceGenerator.h">AK/SourceGenerator.h</a>
2,292,0.68%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/DistinctNumeric.h">AK/DistinctNumeric.h</a>
4,541,0.74%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/UFixedBigInt.h">AK/UFixedBigInt.h</a>
1,208,0.48%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/JsonValue.h">AK/JsonValue.h</a>
2,224,0.89%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Platform.h">AK/Platform.h</a>
2,215,0.93%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/JsonObject.cpp">AK/JsonObject.cpp</a>
1,59,1.69%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Memory.h">AK/Memory.h</a>
1,254,0.39%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/ByteString.h">AK/ByteString.h</a>
2,273,0.73%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/HashMap.h">AK/HashMap.h</a>
2,347,0.58%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/BitStream.h">AK/BitStream.h</a>
3,664,0.45%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Format.h">AK/Format.h</a>
1,86,1.16%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/MemoryStream.h">AK/MemoryStream.h</a>
8,544,1.47%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/PrintfImplementation.h">AK/PrintfImplementation.h</a>
2,113,1.77%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/QuickSelect.h">AK/QuickSelect.h</a>
6,218,2.75%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/SIMDExtras.h">AK/SIMDExtras.h</a>
1,652,0.15%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/HashTable.h">AK/HashTable.h</a>
1,752,0.13%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Vector.h">AK/Vector.h</a>
3,99,3.03%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Statistics.h">AK/Statistics.h</a>
1,43,2.33%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/StringHash.h">AK/StringHash.h</a>
2,253,0.79%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/NonnullRefPtr.h">AK/NonnullRefPtr.h</a>
31,868,3.57%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Math.h">AK/Math.h</a>
2,340,0.59%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/ByteString.cpp">AK/ByteString.cpp</a>
2,279,0.72%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/String.cpp">AK/String.cpp</a>
2,170,1.18%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/CheckedFormatString.h">AK/CheckedFormatString.h</a>
1,565,0.18%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/StdLibExtraDetails.h">AK/StdLibExtraDetails.h</a>
2,366,0.55%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Atomic.h">AK/Atomic.h</a>
1,470,0.21%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Time.h">AK/Time.h</a>
2,277,0.72%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Function.h">AK/Function.h</a>
4,1802,0.22%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FloatingPointStringConversions.cpp">AK/FloatingPointStringConversions.cpp</a>
2,157,1.27%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/String.h">AK/String.h</a>
1,82,1.22%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FlyString.h">AK/FlyString.h</a>
3,175,1.71%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/LexicalPath.cpp">AK/LexicalPath.cpp</a>
1,62,1.61%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/UFixedBigIntDivision.h">AK/UFixedBigIntDivision.h</a>
1,170,0.59%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Error.h">AK/Error.h</a>
8,1046,0.76%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Format.cpp">AK/Format.cpp</a>
2,222,0.90%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Coroutine.h">AK/Coroutine.h</a>
3,90,3.33%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/SIMD.h">AK/SIMD.h</a>
1,520,0.19%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/StringUtils.cpp">AK/StringUtils.cpp</a>
2,198,1.01%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/MemoryStream.cpp">AK/MemoryStream.cpp</a>
1,160,0.62%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FixedArray.h">AK/FixedArray.h</a>
1,109,0.92%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/FPControl.h">AK/FPControl.h</a>
1,79,1.27%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/SIMDMath.h">AK/SIMDMath.h</a>
7,22,31.82%,<a href="https://github.com/SerenityOS/serenity/blob/master/AK/Assertions.h">AK/Assertions.h</a>
3,20,15.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/html/misc/vertical-align.html">Base/res/html/misc/vertical-align.html</a>
1,57,1.75%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/html/misc/private-element-test.html">Base/res/html/misc/private-element-test.html</a>
1,73,1.37%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/html/misc/pseudo-elements.html">Base/res/html/misc/pseudo-elements.html</a>
3,556,0.54%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/html/misc/display-grid.html">Base/res/html/misc/display-grid.html</a>
5,451,1.11%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/ladybird/inspector.js">Base/res/ladybird/inspector.js</a>
1,1230,0.08%,<a href="https://github.com/SerenityOS/serenity/blob/master/Base/res/js/Spreadsheet/runtime.js">Base/res/js/Spreadsheet/runtime.js</a>
3,135,2.22%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Time/APICTimer.cpp">Kernel/Arch/x86_64/Time/APICTimer.cpp</a>
3,383,0.78%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Time/HPET.cpp">Kernel/Arch/x86_64/Time/HPET.cpp</a>
1,77,1.30%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Time/RTC.cpp">Kernel/Arch/x86_64/Time/RTC.cpp</a>
1,273,0.37%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Interrupts/IOAPIC.cpp">Kernel/Arch/x86_64/Interrupts/IOAPIC.cpp</a>
3,520,0.58%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Interrupts/APIC.cpp">Kernel/Arch/x86_64/Interrupts/APIC.cpp</a>
1,86,1.16%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/PCI/Initializer.cpp">Kernel/Arch/x86_64/PCI/Initializer.cpp</a>
1,42,2.38%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/ISABus/HID/VMWareMouseDevice.cpp">Kernel/Arch/x86_64/ISABus/HID/VMWareMouseDevice.cpp</a>
6,404,1.49%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/ISABus/I8042Controller.cpp">Kernel/Arch/x86_64/ISABus/I8042Controller.cpp</a>
5,44,11.36%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/ISABus/SerialDevice.cpp">Kernel/Arch/x86_64/ISABus/SerialDevice.cpp</a>
2,206,0.97%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Hypervisor/VMWareBackdoor.cpp">Kernel/Arch/x86_64/Hypervisor/VMWareBackdoor.cpp</a>
2,100,2.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Firmware/PCBIOS/SysFSDirectory.cpp">Kernel/Arch/x86_64/Firmware/PCBIOS/SysFSDirectory.cpp</a>
3,150,2.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Firmware/MultiProcessor/Parser.cpp">Kernel/Arch/x86_64/Firmware/MultiProcessor/Parser.cpp</a>
1,150,0.67%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/RegisterState.h">Kernel/Arch/x86_64/RegisterState.h</a>
4,198,2.02%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/InterruptManagement.cpp">Kernel/Arch/x86_64/InterruptManagement.cpp</a>
1,17,5.88%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/FPUState.h">Kernel/Arch/x86_64/FPUState.h</a>
1,156,0.64%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/PageDirectory.h">Kernel/Arch/x86_64/PageDirectory.h</a>
2,317,0.63%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/SafeMem.cpp">Kernel/Arch/x86_64/SafeMem.cpp</a>
5,1283,0.39%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Processor.cpp">Kernel/Arch/x86_64/Processor.cpp</a>
1,656,0.15%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/x86_64/Interrupts.cpp">Kernel/Arch/x86_64/Interrupts.cpp</a>
2,46,4.35%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Interrupts/PLIC.cpp">Kernel/Arch/riscv64/Interrupts/PLIC.cpp</a>
12,209,5.74%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/PCI/Initializer.cpp">Kernel/Arch/riscv64/PCI/Initializer.cpp</a>
1,12,8.33%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Firmware/ACPI/StaticParsing.cpp">Kernel/Arch/riscv64/Firmware/ACPI/StaticParsing.cpp</a>
1,14,7.14%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/DebugOutput.cpp">Kernel/Arch/riscv64/DebugOutput.cpp</a>
2,101,1.98%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/InterruptManagement.cpp">Kernel/Arch/riscv64/InterruptManagement.cpp</a>
1,15,6.67%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/FPUState.h">Kernel/Arch/riscv64/FPUState.h</a>
9,163,5.52%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Processor.h">Kernel/Arch/riscv64/Processor.h</a>
1,15,6.67%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Panic.cpp">Kernel/Arch/riscv64/Panic.cpp</a>
8,151,5.30%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/PageDirectory.h">Kernel/Arch/riscv64/PageDirectory.h</a>
10,47,21.28%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Timer.h">Kernel/Arch/riscv64/Timer.h</a>
2,198,1.01%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/MMU.cpp">Kernel/Arch/riscv64/MMU.cpp</a>
7,426,1.64%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Processor.cpp">Kernel/Arch/riscv64/Processor.cpp</a>
9,200,4.50%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/riscv64/Interrupts.cpp">Kernel/Arch/riscv64/Interrupts.cpp</a>
1,25,4.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/MMIO.h">Kernel/Arch/aarch64/RPi/MMIO.h</a>
2,102,1.96%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/MiniUART.cpp">Kernel/Arch/aarch64/RPi/MiniUART.cpp</a>
1,145,0.69%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/Timer.cpp">Kernel/Arch/aarch64/RPi/Timer.cpp</a>
10,68,14.71%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/Timer.h">Kernel/Arch/aarch64/RPi/Timer.h</a>
2,101,1.98%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/Framebuffer.cpp">Kernel/Arch/aarch64/RPi/Framebuffer.cpp</a>
2,120,1.67%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/UART.cpp">Kernel/Arch/aarch64/RPi/UART.cpp</a>
1,98,1.02%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/RPi/Mailbox.cpp">Kernel/Arch/aarch64/RPi/Mailbox.cpp</a>
1,12,8.33%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/Firmware/ACPI/StaticParsing.cpp">Kernel/Arch/aarch64/Firmware/ACPI/StaticParsing.cpp</a>
1,58,1.72%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/kprintf.cpp">Kernel/Arch/aarch64/kprintf.cpp</a>
3,32,9.38%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/Dummy.cpp">Kernel/Arch/aarch64/Dummy.cpp</a>
11,1482,0.74%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/CPUID.cpp">Kernel/Arch/aarch64/CPUID.cpp</a>
3,47,6.38%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/InterruptManagement.cpp">Kernel/Arch/aarch64/InterruptManagement.cpp</a>
9,167,5.39%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/Processor.h">Kernel/Arch/aarch64/Processor.h</a>
1,15,6.67%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/Panic.cpp">Kernel/Arch/aarch64/Panic.cpp</a>
1,33,3.03%,<a href="https://github.com/SerenityOS/serenity/blob/master/Kernel/Arch/aarch64/pre_init.cpp">Kernel/Arch/aarch64/pre_init.cpp</a>
